ID,起票日,カテゴリ,種別,タイトル,課題詳細,対応方針_案,ステータス,優先度,関連施策,タスク化先,対応方針_確定,確定日,備考,詳細ファイル
ISS-001,2026-02-21,ツール,知見,openspec config.yaml の rules: でダブルクォート文字列を使うと YAML パースエラーになる,"rules: セクションのリスト値に 「""foo"" テキスト」のようなダブルクォートを含む文字列を書くと YAMLParseError になる。日本語テキストを途中でダブルクォートで区切る形式が原因。",[案] config.yaml の記述ガイドに「rules: 値はシングルクォートか素の文字列で書く」を追記する。_template や docs に注意書きを加える。,クローズ,中,openspec-process-integration,T-003（openspec/AGENTS.md 作成時に注意書きを含める）,openspec/AGENTS.md の記述ガイドに「rules: 値はシングルクォートか素の文字列で書く」を明記する,2026-02-22,openspec-process-integration 完了に伴いクローズ（2026-02-24）,
ISS-002,2026-02-21,ツール,知見,openspec archive 時に spec 要件文への RFC2119 キーワード（MUST/SHALL）が必須,openspec archive 実行時のバリデーションで「Requirement must contain SHALL or MUST keyword」エラーが出る。spec.md の要件文に MUST/SHALL を含めないとアーカイブできない。,[案] spec.md 作成ガイド・_template に「要件文には必ず MUST または SHALL を含める」ルールを明記する。,クローズ,中,openspec-process-integration,T-003（openspec/AGENTS.md 作成時に spec.md ガイドを含める）,openspec/AGENTS.md の spec.md 作成ガイドに「要件文には必ず MUST または SHALL を含める」を明記する,2026-02-22,openspec-process-integration 完了に伴いクローズ（2026-02-24）,
ISS-003,2026-02-21,ツール,知見,新規 spec には ADDED Requirements・既存 spec 更新には MODIFIED Requirements を使う必要がある,openspec/specs/ に対象ディレクトリが存在しない場合に MODIFIED Requirements を使うと「only ADDED requirements are allowed for new specs」エラーになる。新規作成か既存更新かで ## ヘッダを使い分ける必要がある。,[案] spec delta 作成時のチェックリストに「openspec/specs/ に対象フォルダが存在するか確認してから ADDED/MODIFIED を選ぶ」ステップを追加する。,クローズ,中,openspec-process-integration,T-003（openspec/AGENTS.md の spec delta 作成チェックリストに追加）,openspec/AGENTS.md の spec delta 作成チェックリストに「openspec/specs/ の対象フォルダ有無で ADDED/MODIFIED を使い分ける」を追記する,2026-02-22,openspec-process-integration 完了に伴いクローズ（2026-02-24）,
ISS-004,2026-02-21,ツール,知見,openspec instructions --json の stdout に進捗テキストが混入する,「- Generating instructions...」のような進捗テキストが JSON 出力の前に stdout へ出力されるため、パイプで直接 JSON パースするとエラーになる。,[案] openspec CLI を呼び出す際は JSON 開始位置（最初の { または [）を明示的に探してからパースするか、stderr/stdout を分離する方法を docs に記載する。,クローズ,低,openspec-process-integration,T-003（openspec/AGENTS.md の CLI 呼び出し注意事項に追記）,openspec/AGENTS.md の CLI 呼び出しガイドに JSON パース時の注意（進捗テキスト混入対策）を記載する,2026-02-22,openspec-process-integration 完了に伴いクローズ（2026-02-24）,
ISS-005,2026-02-23,プロセス,改善提案,l2-evaluator・l1-manager にCSV転記ルールが未定義,l2-evaluator のルールファイルにCSV転記の手順が定義されていなかった。また、l1-manager のタスクリスト作成ガイドに、実施・評価ワーカーへのCSV転記タスクの追加指示がなかった。ルールの抜けにより、評価ワーカーによるCSV転記が行われないケースや、マネージャーがワーカーへCSV転記タスクを渡さないケースが発生しうる構造だった。,[案] l2-evaluator.md にCSV転記セクションと実施ワーカー未転記確認フローを追記。l1-manager.md のタスクリスト作成ガイドにCSV転記固定タスクの追加指示と、実施ワーカー未転記への対応フロー（resume → 代理転記）を追記。,クローズ,中,role-agent-prompts,,,2026-02-23,関連施策 role-agent-prompts は _archive 済み。トリアージ 20260306 でクローズ（3回連続推奨）,
ISS-006,2026-02-23,プロセス,リスク,ロール定義と OpenSpec 開発ライフサイクルの統合が未定義,本リポジトリでは openspec を使った開発プロセス（課題認識→タスク化→計画作成→実施）のライフサイクルがまだ定義されていない。そのため、どの開発フェーズでどのロールを使うべきかが決まっておらず、Feature Builder・Reviewer・Documentarian の3ロールは openspec 連携部分が「TODO」の状態で実装されている。,[案] OpenSpec 開発ライフサイクルが定義された後に、別施策として「ロール定義の openspec 統合」を実施する。① 各ロールの TODO コメント箇所を確定した仕様で埋める ② ロールをライフサイクルの適切なフェーズに組み込む,起票,中,role-agent-prompts,,,,トリアージ 20260306: ステータスを「未対応」→「起票」に修正（「未対応」はCSV列定義にないステータス）,
ISS-007,2026-02-24,プロセス,改善提案,長期施策の proposal にバージョン依存前提を明示する運用が未定義,OpenSpec v1.1.1 でアーキテクチャが変わった際に施策 proposal の前提が古くなり参照時に混乱の原因になりうることが判明。バージョン依存の前提を proposal に明記・変更時に追記する運用が必要。,[案] 施策テンプレート（00_proposal.md）の「備考・設計パターン」セクションに「バージョン依存前提の明示」ガイドを追記する（今回のトリアージで実施済み）,クローズ,低,openspec-process-integration（collab-log 気づき3）,triage/20260224（テンプレート修正で対応済み）,00_proposal.md の備考セクションにバージョン依存前提明示のガイドを追記する,2026-02-24,テンプレート修正で即時対応済みのためクローズ。ISS-005採番済みのため ISS-007 に変更（2026-02-24）,
ISS-008,2026-02-25,ドキュメント,改善提案,トリアージのルール・workflow整合性チェック要件がworkflow.mdで強調されていない,triage.md ではルール・workflow整合性チェックが走査項目として明記されているが、workflow.md のトリアージフローでは事前調査の補足説明に留まっており、必須の走査ステップとして強調されていない。,[案] workflow.md のトリアージフロー記述でルール・workflow整合性チェックをより目立つ形で記載する。,クローズ,低,triage/20260225,workflow-doc-consistency-fix,,2026-03-04,施策 workflow-doc-consistency-fix で対応完了,
ISS-009,2026-02-25,ドキュメント,改善提案,ファイル所有権テーブルの記号体系が rules と workflow.md で異なる,workflow.md のオーナーシップテーブルでは絵文字記号（✏️ 👁️ ☑️ 📝）を使用しているが、各ルールファイル（l1-manager.md / l2-worker.md / l2-evaluator.md）ではテキストベースの「担当ファイル」セクションで異なる表記を使用している。,[案] rules ファイル側の表記を workflow.md の記号体系に合わせるか、逆に workflow.md の記号を rules に合わせて統一する。,クローズ,低,triage/20260225,workflow-doc-consistency-fix,,2026-03-04,施策 workflow-doc-consistency-fix で対応完了（凡例セクション追加）,
ISS-010,2026-02-25,ドキュメント,改善提案,L1のCSV更新責務（07_issues.md経由）がworkflow.mdで曖昧,workflow.md のオーナーシップテーブルで 07_issues.md のL1列が「📝 転記判断・CSV更新」となっているが、l1-manager.md では resume → 代理転記という段階的フローが定義されている。L1が直接CSV更新するケースの条件がworkflow.mdから読み取れない。,[案] workflow.md のオーナーシップテーブルの07_issues.md行にL1の操作条件（resume不可時のみ代理転記）を注記する。,クローズ,低,triage/20260225,workflow-doc-consistency-fix,,2026-03-04,以前の修正で脚注 *2 として既に対応済みだった。施策 workflow-doc-consistency-fix で確認・クローズ,
